,Mobile_name,Details,Price,Reviews,Num_Ratings,Num_Reviews
28,"vivo T2x 5G (Glimmer Black, 128 GB)",6 GB RAM | 128 GB ROM16.71 cm (6.58 inch) Full HD+ Display50MP + 2MP | 8MP Front Camera5000 mAh BatteryMediatek Dimensity 6020 Processor1 Year of Device & 6 Months for Inbox Accessories,"₹12,999",4.4,"3,45,370 Ratings "," 19,420 Reviews"
29,"POCO M6 Pro 5G (Forest Green, 128 GB)",6 GB RAM | 128 GB ROM | Expandable Upto 1 TB17.25 cm (6.79 inch) Full HD+ Display50MP + 2MP | 8MP Front Camera5000 mAh BatterySnapdragon 4 Gen 2 Processor1 Year Manufacturer Warranty for Phone and 6 Months Warranty for In the Box Accessories,"₹11,499",4.3,"69,021 Ratings "," 4,624 Reviews"
30,"vivo T2x 5G (Glimmer Black, 128 GB)",4 GB RAM | 128 GB ROM16.71 cm (6.58 inch) Full HD+ Display50MP + 2MP | 8MP Front Camera5000 mAh BatteryMediatek Dimensity 6020 Processor1 Year of Device & 6 Months for Inbox Accessories,"₹11,999",4.4,"1,56,942 Ratings "," 8,367 Reviews"
31,"vivo T2x 5G (Marine Blue, 128 GB)",8 GB RAM | 128 GB ROM16.71 cm (6.58 inch) Full HD+ Display50MP + 2MP | 8MP Front Camera5000 mAh BatteryMediatek Dimensity 6020 Processor1 Year of Device & 6 Months for Inbox Accessories,"₹14,999",4.3,"62,930 Ratings "," 3,777 Reviews"
32,"vivo T2x 5G (Aurora Gold, 128 GB)",4 GB RAM | 128 GB ROM16.71 cm (6.58 inch) Full HD+ Display50MP + 2MP | 8MP Front Camera5000 mAh BatteryMediatek Dimensity 6020 Processor1 Year of Device & 6 Months for Inbox Accessories,"₹11,999",4.4,"1,56,942 Ratings "," 8,367 Reviews"
33,"vivo T2x 5G (Glimmer Black, 128 GB)",8 GB RAM | 128 GB ROM16.71 cm (6.58 inch) Full HD+ Display50MP + 2MP | 8MP Front Camera5000 mAh BatteryMediatek Dimensity 6020 Processor1 Year of Device & 6 Months for Inbox Accessories,"₹14,999",4.3,"62,930 Ratings "," 3,777 Reviews"
34,"vivo T2x 5G (Marine Blue, 128 GB)",4 GB RAM | 128 GB ROM16.71 cm (6.58 inch) Full HD+ Display50MP + 2MP | 8MP Front Camera5000 mAh BatteryMediatek Dimensity 6020 Processor1 Year of Device & 6 Months for Inbox Accessories,"₹11,999",4.4,"1,56,942 Ratings "," 8,367 Reviews"
35,"Apple iPhone 14 (Blue, 128 GB)","128 GB ROM15.49 cm (6.1 inch) Super Retina XDR Display12MP + 12MP | 12MP Front CameraA15 Bionic Chip, 6 Core Processor Processor1 Year Warranty for Phone and 6 Months Warranty for In-Box Accessories","₹56,999",4.6,"2,75,992 Ratings "," 10,824 Reviews"
36,"POCO M6 5G (Orion Blue, 128 GB)",6 GB RAM | 128 GB ROM | Expandable Upto 1 TB17.12 cm (6.74 inch) HD+ Display50MP Rear Camera5000 mAh BatteryMediatek Dimensity 6100+ Processor1 Year Manufacturer Warranty for Phone and 6 Months Warranty for In the Box Accessories,"₹10,499",4.3,"5,924 Ratings ", 368 Reviews
37,"Apple iPhone 14 (Starlight, 128 GB)","128 GB ROM15.49 cm (6.1 inch) Super Retina XDR Display12MP + 12MP | 12MP Front CameraA15 Bionic Chip, 6 Core Processor Processor1 Year Warranty for Phone and 6 Months Warranty for In-Box Accessories","₹56,999",4.6,"2,75,992 Ratings "," 10,824 Reviews"
38,"vivo T2 Pro 5G (Dune Gold, 256 GB)",8 GB RAM | 256 GB ROM17.22 cm (6.78 inch) Full HD+ Display64MP + 2MP | 16MP Front Camera4600 mAh BatteryDimensity 7200 Processor1 Year Manufacturer Warranty for Phone and 6 Months Warranty for In the Box Accessories,"₹24,999",4.5,"69,096 Ratings "," 6,099 Reviews"
39,"vivo T2 Pro 5G (New Moon Black, 256 GB)",8 GB RAM | 256 GB ROM17.22 cm (6.78 inch) Full HD+ Display64MP + 2MP | 16MP Front Camera4600 mAh BatteryDimensity 7200 Processor1 Year Manufacturer Warranty for Phone and 6 Months Warranty for In the Box Accessories,"₹24,999",4.5,"69,096 Ratings "," 6,099 Reviews"
40,"vivo T2 Pro 5G (New Moon Black, 128 GB)",8 GB RAM | 128 GB ROM17.22 cm (6.78 inch) Full HD+ Display64MP + 2MP | 16MP Front Camera4600 mAh BatteryDimensity 7200 Processor1 Year Manufacturer Warranty for Phone and 6 Months Warranty for In the Box Accessories,"₹23,999",4.5,"69,096 Ratings "," 6,099 Reviews"
